iter	Passed	Remaining
625	25364	15153
626	25407	15114
627	25453	15077
628	25497	15039
629	25543	15001
630	25598	14969
631	25648	14934
632	25689	14894
633	25737	14857
634	25785	14821
635	25825	14780
636	25867	14740
637	25911	14701
638	25950	14660
639	25996	14622
640	26047	14588
641	26140	14576
642	26191	14541
643	26230	14500
644	26268	14457
645	26303	14413
646	26342	14372
647	26378	14329
648	26421	14289
649	26457	14246
650	26493	14203
651	26530	14160
652	26568	14118
653	26604	14075
654	26649	14036
655	26689	13995
656	26750	13965
657	26798	13928
658	26839	13888
659	26878	13846
660	26919	13805
661	26959	13764
662	26998	13722
663	27041	13683
664	27090	13646
665	27125	13603
666	27160	13559
667	27197	13517
668	27234	13474
669	27270	13431
670	27311	13390
671	27346	13347
672	27387	13306
673	27424	13264
674	27459	13221
675	27496	13178
676	27539	13139
677	27578	13097
678	27615	13055
679	27654	13013
680	27690	12970
681	27725	12927
682	27763	12885
683	27799	12842
684	27835	12800
685	27874	12759
686	27909	12715
687	27947	12674
688	27992	12635
689	28030	12593
690	28066	12550
691	28102	12508
692	28142	12466
693	28180	12425
694	28215	12382
695	28253	12340
696	28289	12297
697	28328	12256
698	28366	12215
699	28404	12173
700	28442	12131
701	28490	12094
702	28538	12056
703	28596	12023
704	28648	11987
705	28688	11946
706	28726	11905
707	28773	11867
708	28816	11827
709	28862	11788
710	28914	11752
711	28960	11714
712	29002	11674
713	29063	11641
714	29103	11600
715	29143	11559
716	29180	11517
717	29223	11477
718	29264	11437
719	29302	11395
720	29345	11355
721	29384	11314
722	29426	11273
723	29472	11235
724	29521	11197
725	29569	11159
726	29619	11122
727	29670	11085
728	29711	11045
729	29753	11004
730	29818	10973
731	29860	10932
732	29944	10907
733	29993	10869
734	30034	10828
735	30073	10787
736	30120	10748
737	30158	10706
738	30197	10665
739	30236	10623
740	30275	10581
741	30311	10539
742	30349	10497
743	30388	10456
744	30425	10414
745	30460	10371
746	30502	10330
747	30548	10291
748	30590	10251
749	30631	10210
750	30678	10171
751	30716	10130
752	30756	10088
753	30794	10047
754	30830	10004
755	30867	9962
756	30906	9921
757	30945	9879
758	30983	9837
759	31022	9796
760	31062	9755
761	31099	9713
762	31137	9671
763	31175	9630
764	31211	9587
765	31250	9546
766	31291	9505
767	31328	9463
768	31374	9424
769	31410	9382
770	31445	9339
771	31481	9297
772	31516	9255
773	31556	9214
774	31593	9172
